iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
FRO,ECS,Faeroe Islands,HIC,44403,,,,,,,,,,NA,NA,Yes,No,NA,48842,0,0,0,0,0,0,61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,33,NA,NA
FSM,EAS,"Micronesia, Fed. Sts.",LMC,3440,24,7,17,9,13,26,4,,,NA,Yes,Yes,None,NA,104937,0,0,200,0,0,73,26040,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,SSF,Gabon,UMC,18515,,,,,,,,,,NA,NA,NA,Yes,NA,1086137,0,0,14000,0,0,0,238102,NA,NA,3.8,NA,NA,NA,23.6,NA,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBR,ECS,United Kingdom,HIC,46290,17,2,4,28,19,20,,8,3,Yes,Yes,Yes,No,NA,66460344,10365788,156803699,3584126,5755258,0,4218205,30771140,NA,NA,NA,NA,NA,NA,NA,97.43,NA,NA,NA,NA,NA,16.23,NA,31.38,22.568,NA,NA,27.25,NA,2.572,NA,NA
GEO,ECS,Georgia,LMC,12605,39,3,5,16,34,3,,,,No,No,Yes,NA,NA,3717100,0,0,21000,0,0,0,800000,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHA,SSF,Ghana,LMC,3093,67,0,1,25,3,4,,,,NA,Yes,Yes,Yes,NA,21542008,0,0,39000,0,0,0,3538275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIB,ECS,Gibraltar,HIC,43712,25,4,4,14,34,16,,,,NA,Yes,Yes,Yes,Yes,33623,0,30000,201,58995,0,0,16954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,SSF,Guinea,LIC,1623,58,1,1,27,9,4,,,,NA,NA,Yes,Yes,NA,8132552,0,0,8000,0,0,0,596911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,95,NA,NA
GMB,SSF,"Gambia, The",LIC,2181,35,2,2,51,10,,,,,NA,Yes,Yes,No,NA,1311349,0,0,2200,0,0,0,193441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNB,SSF,Guinea-Bissau,LIC,1800,,,,,,,,,,NA,NA,NA,NA,NA,1770526,0,0,1000,0,0,0,289514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,SSF,Equatorial Guinea,UMC,24827,,,,,,,,,,NA,NA,NA,NA,NA,1221490,0,0,0,0,0,0,198443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,ECS,Greece,HIC,30465,40,3,3,9,29,14,2,,,No,Yes,Yes,Yes,Yes,10716322,575225,59985396,188460,221041,0,251623,5615353,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,80,NA,1,19,NA,NA,NA,NA
GRD,LCN,Grenada,UMC,13208,27,3,2,37,14,16,1,,,Yes,Yes,Yes,Yes,NA,105481,0,0,800,0,0,0,29536,NA,NA,NA,NA,NA,98.3,NA,NA,NA,NA,NA,NA,NA,0.2,98.3,NA,NA,NA,1.5,NA,NA,NA,NA,Disposal Site
GRL,ECS,Greenland,HIC,43949,43,7,2,33,11,2,,1,,NA,NA,Yes,No,NA,56905,0,0,0,730,0,0,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,60,NA,NA,NA,NA,NA,NA,NA
GTM,LCN,Guatemala,UMC,8125,38,4,,18,16,17,,,7,NA,NA,No,Yes,NA,16252429,0,0,55000,10051,0,819,2756741,NA,NA,NA,NA,NA,NA,77.7,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,69.8,NA,NA,15.4,5.2,NA,NA
GUM,EAS,Guam,HIC,59075,27,5,9,9,29,12,3,6,,NA,Yes,Yes,Yes,Yes,159973,0,0,0,0,0,0,141500,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,17.85,64,18.15,NA,NA
GUY,LCN,Guyana,UMC,9812,50,5,4,12,11,14,2,3,,No,Yes,No,No,No,746556,0,0,5000,742,0,0,179252,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.37,NA,NA,0.54,NA,38.09,NA,Other
HKG,EAS,"Hong Kong SAR, China",HIC,57216,35,3,2,14,22,21,,3,,Yes,Yes,Yes,Yes,Yes,7305700,0,1533000,70000,54812,0,2268,5679816,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,34,NA,NA,NA,NA
HND,LCN,Honduras,LMC,5396,58,1,2,7,17,14,0,,,No,NA,Yes,Yes,NA,9112867,0,0,1700,253,0,0,2162028,NA,NA,NA,NA,NA,NA,64.6,NA,NA,NA,NA,NA,NA,NA,59.9,NA,NA,15,NA,NA,11.3,13.8,NA,NA
HRV,ECS,Croatia,HIC,28829,31,4,2,12,23,23,,,6,Yes,Yes,Yes,Yes,NA,4067500,395664,805354,58078,130326,0,56814,1810038,NA,NA,NA,NA,NA,NA,NA,97.76,NA,NA,NA,NA,NA,1.69,NA,NA,79.75,NA,NA,16.32,NA,2.24,NA,NA
HTI,LCN,Haiti,LIC,2953,61,2,3,17,4,13,,1,,No,No,No,No,No,10847334,0,0,6000,0,0,0,2309852,NA,0.4,NA,NA,NA,12.4,NA,NA,NA,NA,23.8,NA,NA,NA,9.94,NA,NA,NA,NA,NA,NA,90.06,NA,Source
HUN,ECS,Hungary,HIC,32643,23,4,2,46,13,13,,,,Yes,Yes,Yes,Yes,Yes,9769949,699238,7605276,50066,596554,0,489182,3780970,NA,NA,NA,NA,NA,NA,NA,99.94,NA,NA,NA,NA,NA,6.22,NA,14.14,53.64,NA,NA,25.94,NA,0.06,NA,NA
IDN,EAS,Indonesia,LMC,10531,54,3,2,13,15,14,,,,NA,Yes,Yes,Yes,NA,261115456,122000000,0,1274000,23000000,0,82125,65200000,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,10,14,7,NA,NA,NA,NA
IMN,ECS,Isle of Man,HIC,44204,,,,,,,,,,Yes,Yes,Yes,NA,Yes,80759,0,122965,0,0,48783,0,50551,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,25,25,NA,NA,50,NA,NA,NA,NA
IND,SAS,India,LMC,6497,,,,,,,,,,No,Yes,Yes,Yes,Yes,1352617344,0,27500000,1700000,7467000,0,180785,189750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.19,NA,18,NA,NA,NA,77,NA,5,NA,NA,NA,NA
IRL,ECS,Ireland,HIC,83389,17,9,4,26,25,12,,2,6,NA,Yes,Yes,Yes,Yes,4867316,554285,7898378,212874,482907,0,776112,2910655,NA,NA,NA,NA,NA,NA,NA,92.04,NA,NA,NA,NA,NA,6,41,17,NA,NA,2,33,NA,1,NA,NA
IRN,MEA,"Iran, Islamic Rep.",UMC,14536,73,2,2,5,7,9,1,1,,No,Yes,Yes,Yes,No,80277424,16049000,80000000,630000,8000000,30000000,1609650,17885000,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,0.3,12,10,0.4,NA,72,NA,5,NA,0.3,NA,Source
IRQ,MEA,Iraq,UMC,10311,69,2,1,6,10,5,5,1,1,No,No,No,NA,NA,36115648,0,0,221000,20622,0,0,13140000,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Source
ISL,ECS,Iceland,HIC,55274,10,,,,38,9,,29,14,NA,Yes,Yes,No,Yes,343400,5000,1000,7600,7000,10000,0,225270,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,2.86,NA,1.9,30.29,NA,9.14,55.81,NA,NA,NA,NA
ISR,MEA,Israel,HIC,37688,34,3,3,16,24,18,,,2,NA,Yes,Yes,NA,Yes,8380100,0,7000000,120000,321000,0,0,5400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,25,NA,NA,NA,NA
ITA,ECS,Italy,HIC,42420,34,8,4,15,23,12,,4,,Yes,Yes,Yes,No,NA,60297396,6921585,61938678,2800026,8923548,0,16071024,30088400,NA,NA,NA,NA,NA,NA,NA,88.92,NA,NA,NA,NA,NA,17.6,NA,19,26.48,NA,NA,25.9,NA,11.02,NA,NA
JAM,LCN,Jamaica,UMC,9551,62,3,2,5,15,12,,1,,Yes,Yes,Yes,Yes,Yes,2881355,0,0,17000,10000,0,207,1051695,NA,28,NA,NA,NA,63.99,76,NA,NA,67,NA,NA,NA,NA,64,NA,NA,NA,29,NA,NA,7,NA,Source
JOR,MEA,Jordan,UMC,10413,50,2,2,16,15,16,,,,NA,No,Yes,Yes,NA,8413464,4000000,0,43000,1230441,45000,4000,2529997,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,48,45,NA,7,NA,NA,NA,Disposal Site
JPN,EAS,Japan,HIC,41310,36,5,4,6,33,11,1,4,,Yes,No,Yes,Yes,NA,126529104,35109000,72690000,518978,3600000,392840000,320000,42720000,NA,NA,NA,NA,NA,NA,99.9,NA,NA,NA,NA,NA,0.1,0.4,1.1,80.2,NA,NA,13.3,4.9,NA,NA,NA,Source
KAZ,ECS,Kazakhstan,UMC,22703,30,5,3,7,25,25,,3,,No,Yes,Yes,Yes,No,16791424,0,0,147000,0,0,0,4659740,NA,NA,25,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,NA,2.92,NA,36.98,NA,Disposal site
KEN,SSF,Kenya,LMC,3330,57,3,1,9,11,19,,,,NA,NA,Yes,NA,NA,41350152,0,0,17350,0,0,909182,5595099,NA,NA,NA,NA,NA,NA,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,92,NA,NA
KGZ,ECS,Kyrgyz Republic,LMC,4805,,,,,,,,,,No,Yes,Yes,Yes,NA,5956900,17900,3600,7200,4771346,0,0,1113300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Disposal Site
KHM,EAS,Cambodia,LMC,3364,67,3,2,10,4,9,,6,,No,Yes,Yes,Yes,NA,15270790,0,0,14000,0,0,147,1089000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,82.5,NA,NA
KIR,EAS,Kiribati,LMC,2250,44,6,10,9,11,17,4,,,NA,Yes,Yes,No,NA,114395,0,0,100,0,767,16,35724,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,LCN,St. Kitts and Nevis,HIC,25569,27,8,9,12,21,23,,,,Yes,Yes,Yes,No,Yes,54288,0,0,700,0,0,0,32892,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,Disposal site
KOR,EAS,"Korea, Rep.",HIC,42105,30,3,3,,41,24,,,,Yes,Yes,Yes,Yes,NA,51606632,0,68119600,570635,0,39810000,0,20452776,NA,NA,NA,NA,NA,NA,99.92,99.9,NA,NA,NA,NA,NA,1,NA,25,16,NA,NA,58,NA,NA,NA,NA
KWT,MEA,Kuwait,HIC,58810,45,4,2,8,20,20,,1,1,No,Yes,Yes,NA,NA,2998083,0,1149000,67000,203000,7000,33000,1750000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Disposal Site
LAO,EAS,Lao PDR,LMC,6544,17,9,4,20,3,6,1,38,1,None,Yes,Yes,Yes,NA,6663967,0,0,7500,5200,49500,1200,351900,NA,NA,NA,35,NA,NA,NA,55,NA,NA,NA,60,NA,NA,30,NA,NA,60,NA,10,NA,NA,NA,At disposal site
LBN,MEA,Lebanon,UMC,16967,53,4,6,11,16,12,,,,No,Yes,No,No,No,5603279,0,0,51000,46000,0,5568,2040000,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,15,48,NA,NA,29,NA,8,NA,NA,NA,Source
LBR,SSF,Liberia,LIC,1333,,,,,,,,,,NA,Yes,Yes,Yes,NA,3512932,0,0,0,0,0,0,564467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBY,MEA,Libya,UMC,8480,70,3,4,4,6,8,,3,,No,Yes,No,NA,NA,6193501,0,3641150,70000,0,0,0,2147596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,LCN,St. Lucia,UMC,14030,45,7,5,11,10,22,,,,Yes,Yes,Yes,Yes,Yes,177206,0,0,1600,2732,0,50,77616,NA,NA,NA,NA,NA,96.8,100,NA,NA,NA,NA,NA,NA,0.1,96.8,NA,NA,NA,2.6,NA,NA,0.5,NA,Disposal site
LIE,ECS,Liechtenstein,HIC,45727,38,5,13,9,30,5,,,,NA,Yes,Yes,No,NA,36545,2612,513728,293,1204,0,127,32382,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.6,NA,35.4,NA,NA
LKA,SAS,Sri Lanka,LMC,12287,62,2,3,13,7,7,,6,,Yes,Yes,Yes,No,Yes,21203000,0,65700,73,0,53000,9855,2631650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,85,NA,12.79,NA,NA,NA,Databases
LSO,SSF,Lesotho,LMC,1979,,,,,,,,,,NA,NA,NA,NA,NA,1965662,0,0,1800,0,0,0,73457,NA,0.97,NA,NA,NA,4.22,20,NA,NA,11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTU,ECS,Lithuania,HIC,37278,40,9,3,44,10,10,,1,,No,Yes,Yes,Yes,NA,2786844,551038,3011590,82691,165477,0,70124,1315390,NA,NA,90,NA,NA,NA,NA,98.69,NA,NA,96,NA,NA,10.15,NA,11.54,54,NA,NA,22.92,NA,1.39,NA,NA
LUX,ECS,Luxembourg,HIC,114323,30,4,2,27,19,18,,,,Yes,Yes,Yes,No,NA,619896,95427,6272673,7398,237180,0,47825,490338,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,19.66,NA,33.99,17.7,NA,NA,28.37,NA,0.28,NA,NA
LVA,ECS,Latvia,HIC,30982,47,21,3,10,6,8,4,2,,NA,Yes,Yes,Yes,Yes,1912789,105480,671423,25071,104142,0,65624,839714,NA,NA,NA,NA,NA,NA,NA,84.36,NA,NA,NA,NA,NA,5.48,NA,NA,57.64,NA,NA,21.23,NA,15.65,NA,NA
MAC,EAS,"Macao SAR, China",HIC,117336,3,3,2,3,59,8,,22,,Yes,Yes,Yes,Yes,Yes,612167,0,52000,11000,3118,0,11493,377942,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,80,NA,NA
MAF,LCN,St. Martin (French part),HIC,30386,,,,,,,,,,NA,NA,Yes,Yes,Yes,30959,0,0,0,0,0,0,15480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,MEA,Morocco,LMC,6915,60,2,3,6,9,8,,,,No,No,Yes,Yes,Yes,34318080,0,7000000,30300,289385,1599711,21000,6852000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,1,NA,NA,NA,52,2,8,37,NA,NA,Disposal site
MCO,ECS,Monaco,HIC,43712,,3,2,,2,1,,,,Yes,Yes,Yes,Yes,Yes,37783,0,0,0,312,0,0,46000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,5.4,NA,9.6,NA,NA
MDA,ECS,Moldova,LMC,10361,55,4,3,23,5,10,,,,No,Yes,Yes,Yes,Yes,3554108,0,1400000,6300,418,2841700,15700,3981200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.08,NA,15.32,NA,49.6,NA,Other
MDG,SSF,Madagascar,LIC,1566,,,,,,,,,,NA,NA,Yes,Yes,NA,24894552,0,0,14000,45957,0,0,3768759,NA,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,96.7,NA,NA,NA,NA,NA,NA
MDV,SAS,Maldives,UMC,17285,24,,1,1,6,3,,,65,No,Yes,Yes,No,Yes,409163,0,6161,3004,15106,0,1737,211506,NA,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,7,NA,6,NA,NA,24,NA,NA,NA,63,Ministry forecast
MEX,LCN,Mexico,UMC,19332,52,6,3,12,14,11,,,,Yes,NA,Yes,Yes,NA,125890952,0,6000000,957900,18172,0,978,53100000,NA,NA,NA,NA,NA,NA,NA,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,5,74.5,NA,NA,NA
MHL,EAS,Marshall Islands,UMC,3629,8,2,6,31,11,13,,,29,NA,Yes,Yes,None,NA,52793,0,0,0,0,0,43,8614,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,66,NA,NA,6,NA,NA,NA,NA,NA,30.8,NA,63.2,NA,NA
MKD,ECS,"Macedonia, FYR",UMC,16148,29,4,3,20,13,14,1,1,16,Yes,Yes,Yes,Yes,NA,2082958,91933,121551,1220,40797,0,951293,626970,NA,NA,NA,NA,NA,NA,73,76.61,NA,NA,NA,NA,NA,0.1,NA,NA,99.72,NA,NA,0.18,NA,NA,NA,Disposal Site
MLI,SSF,Mali,LIC,2008,18,1,4,73,4,2,,,,NA,NA,NA,Yes,NA,16006670,0,0,12000,0,0,0,1937354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLT,MEA,Malta,HIC,43708,52,6,4,10,18,12,,,,Yes,Yes,Yes,Yes,NA,502653,16607,1258426,7643,36523,106235,23418,348841,NA,NA,NA,NA,NA,NA,NA,96.65,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,6.69,89.59,3.35,NA,NA
MMR,EAS,Myanmar,LMC,1094,,,,,,,,,,NA,Yes,Yes,Yes,NA,46095464,0,0,55000,0,54750,648,4677307,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,92,NA,Household
MNE,ECS,Montenegro,UMC,20753,34,9,3,19,14,18,,3,,Yes,Yes,Yes,No,NA,622227,0,92228,6200,3819,453792,2331,329780,NA,NA,NA,NA,NA,NA,75.9,96.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.57,NA,5.42,NA,3.01,NA,NA
MNG,EAS,Mongolia,LMC,10940,23,,,50,13,15,,,,NA,NA,Yes,Yes,NA,3027398,0,126300,14000,0,81400,967,2900000,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,93.5,NA,NA,NA,6.5,NA,NA
MNP,EAS,Northern Mariana Islands,HIC,60956,44,6,10,9,11,17,4,,,NA,Yes,Yes,NA,Yes,54036,0,0,0,0,0,0,32761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,64,NA,NA
MOZ,SSF,Mozambique,LIC,1217,60,,,15,25,,,,,NA,Yes,Yes,NA,NA,27212382,0,0,17000,0,0,0,2500000,NA,NA,NA,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,1,NA,NA,NA,NA
MRT,SSF,Mauritania,LMC,4784,5,4,4,60,7,20,,,,NA,NA,Yes,No,NA,3506288,0,0,5100,0,0,0,454000,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,37.3,NA,NA,54.7,NA,8,NA,NA,NA,NA
MUS,SSF,Mauritius,UMC,20647,64,3,,8,13,12,,,,NA,NA,Yes,Yes,NA,1263473,0,0,11000,17000,0,0,438000,NA,NA,NA,NA,NA,NA,98,83.73150685,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
MWI,SSF,Malawi,LIC,999,,,,,,,,,,NA,NA,NA,NA,NA,16577147,0,0,9500,0,0,0,1297844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYS,EAS,Malaysia,UMC,23906,46,3,3,9,14,15,3,7,,No,Yes,Yes,Yes,Yes,30228016,42000000,0,280000,2918478,831835,19500,12982685,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,1,NA,NA,71.5,NA,NA,17.5,10,NA,NA,Landfill
NAM,SSF,Namibia,UMC,6153,,,,,,,,,,NA,NA,NA,NA,NA,1559983,0,0,14000,0,0,0,256729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,95.5,NA,NA
NCL,EAS,New Caledonia,HIC,57330,44,6,10,9,11,17,4,,,NA,NA,Yes,NA,NA,278000,0,0,0,0,0,324,108157,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,SSF,Niger,LIC,1038,38,,1,57,2,2,,,,NA,NA,Yes,Yes,NA,8842415,0,0,7900,554000,0,0,1865646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,12,4,NA,20,NA,NA
NGA,SSF,Nigeria,LMC,4690,,3,,11,8,5,,,,NA,NA,Yes,Yes,NA,154402176,0,0,277000,0,0,0,27614830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,60,NA,NA,NA,NA,NA
NIC,LCN,Nicaragua,LMC,4612,,,,,,,,,,NA,NA,Yes,NA,NA,5737723,0,0,10800,2837,0,0,1528816,NA,NA,NA,NA,NA,NA,92.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,59.3,21.1,NA,NA,NA,NA,NA
NLD,ECS,Netherlands,HIC,56849,35,5,4,20,21,14,,,,Yes,Yes,Yes,No,NA,17332850,14718640,96206470,534410,4830495,0,2391871,8805088,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,27.1,NA,47.369,1.412,NA,NA,24.61,NA,NA,NA,NA
NOR,ECS,Norway,HIC,64962,15,5,6,13,27,2,,17,15,Yes,Yes,Yes,Yes,Yes,5347896,399805,3030449,150000,1482000,415000,1054590,4149967,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,16.69,NA,52.35,NA,NA,NA,26.16,3.38,1.42,NA,NA
NPL,SAS,Nepal,LIC,2902,52,4,2,7,18,15,1,,,NA,Yes,Yes,Yes,NA,28982772,0,0,23000,5051,0,13408,1768977,NA,NA,NA,50,NA,NA,NA,62.3,NA,NA,NA,80,NA,2.87,NA,NA,37,NA,NA,NA,NA,60.13,NA,At generator level
NRU,EAS,Nauru,UMC,11167,44,6,10,9,11,17,4,,,NA,Yes,Yes,No,NA,13049,0,0,0,0,0,0,6192,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,EAS,New Zealand,HIC,41857,28,4,5,37,7,8,1,11,,Yes,Yes,Yes,Yes,Yes,4692700,133,3000000,95000,0,1750000,0,3405000,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
OMN,MEA,Oman,HIC,30536,27,6,,24,15,21,,2,5,No,Yes,Yes,Yes,NA,3960925,0,735341,59000,1469835,0,4500,1734885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,99.99,NA,NA,NA,NA,NA,NA
PAK,SAS,Pakistan,LMC,4571,30,6,4,20,13,9,2,2,14,No,Yes,No,Yes,NA,193203472,82120000,0,301000,1538000,0,292000000,30760000,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,70,NA,2,NA,NA,40,50,NA,8,NA,NA,NA,Waste generated in 8 cities
PAN,LCN,Panama,HIC,28436,46,6,4,6,26,12,,,,NA,NA,Yes,NA,NA,3969249,0,0,3200,0,0,3095,1472262,NA,NA,NA,NA,NA,NA,84.9,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,23.4,18.9,NA,41.7,NA,NA,NA
PER,LCN,Peru,UMC,11877,50,3,3,22,7,11,1,,3,Yes,Yes,Yes,Yes,Yes,30973354,0,0,182000,660180,0,7176,8356711,NA,38.2,NA,NA,NA,NA,82.93,NA,NA,95.3,NA,NA,NA,NA,15.58,NA,NA,56.39,NA,4,24.03,NA,NA,NA
PHL,EAS,Philippines,LMC,7705,52,2,4,22,9,11,0,,,Yes,Yes,Yes,Yes,Yes,103320224,0,0,290000,4332222,0,0,14631923,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,28,NA,72,NA,NA
